"left"	"right"	"correlation"
"410"	"INton left"	"MNspider-ant right"	-0.013063846513769
"411"	"INton left"	"MNspider-post right"	-0.0114545493892569
"412"	"INton left"	"MNbiramous right"	-0.0229733806587634
"413"	"INton left"	"MNring right"	-0.0167967336862783
"414"	"INton left"	"MNcrab right"	-0.0167633170925746
"415"	"INton left"	"MNhose right"	-0.0232226420774382
"416"	"INton left"	"MNbow right"	-0.011986547106756
"417"	"INton left"	"MNwave right"	-0.0131189836838164
"418"	"INton left"	"MNacicX right"	-0.0113400176562117
"419"	"INton left"	"INchaeMech right"	-0.0125441253662265
"420"	"INton left"	"chaeMech right"	-0.0127691721809812
"421"	"INton left"	"INFVa-pyg right"	-0.0120425022482064
"422"	"INton left"	"INsplitCR right"	-0.0150490462194782
"423"	"INton left"	"INsplitCRATO right"	0.0801471854631258
"424"	"INton left"	"INMC3 right"	-0.0122814676079094
"425"	"INton left"	"INbiax right"	-0.0107953279372173
"426"	"INton left"	"INsplitPB-RF/Ya right"	-0.0144834136444646
"427"	"INton left"	"INsplitPBant right"	-0.00158504967674038
"428"	"INton left"	"INsplitPB right"	-0.0182694381177172
"429"	"INton left"	"PB right"	-0.0202220513904054
"430"	"INton left"	"interparaPM1 right"	-0.0104767856906065
"431"	"INton left"	"cioMNcover right"	-0.0155701712037266
"432"	"INton left"	"INsplitPUh right"	-0.017708101262097
"433"	"INton left"	"MN3 right"	-0.0220003096053593
"434"	"INton left"	"MN1 right"	-0.0160600291516358
"435"	"INton left"	"MN2 right"	-0.0165601314686991
"436"	"INton left"	"MC3cover right"	-0.0160600291516358
"437"	"INton left"	"antPUc right"	-0.00151229580899133
"438"	"INton left"	"spinPU right"	-0.013063846513769
"439"	"INton left"	"trochPU right"	-0.0138692696843298
"440"	"INton left"	"hPUc1 right"	-0.00841941086248691
"441"	"INton left"	"pygCirrusPUSM right"	-0.0131189836838164
"442"	"INton left"	"hCirrusPU right"	0.146133469379253
"443"	"INton left"	"parapodPU right"	0.04995365039145
"444"	"INton left"	"hPU right"	0.804719147553832
"445"	"INton left"	"dsoPU right"	-0.0175660684888613
"446"	"INton left"	"pygCirrusPU right"	-0.0128440254575407
"447"	"INton left"	"hCR right"	-0.0138286415523668
"448"	"INton left"	"ventralpygCR right"	-0.0235728482911972
"449"	"INton left"	"SN-DLSO1.0 right"	-0.0103973339734976
"450"	"INton left"	"INdc right"	0.00110532415593937
"451"	"INton left"	"INbackcross right"	0.125093875598736
"452"	"INton left"	"MNcommUpL right"	-0.00972520449925941
