"skid"	"annotation"	"id"	"uid"
"575"	494300	"fragmentum"	2069834	11
"576"	494300	"yyx"	1883308	13
"577"	498161	"fragmentum"	2069834	11
"578"	498161	"yyx"	1883308	13
"579"	498161	"piece_eyecircuit"	662029	10
"580"	503950	"fragmentum"	2069834	11
"581"	503950	"yyx"	1883308	13
"582"	503950	"piece_eyecircuit"	662029	10
"583"	506328	"fragmentum"	2069834	11
"584"	506328	"yyx"	1883308	13
"585"	506328	"dense cored vesicles"	1224657	16
"586"	506631	"fragmentum"	2069834	11
"587"	506631	"yyx"	1883308	13
"588"	506631	"dense cored vesicles"	1224657	16
"589"	506981	"fragmentum"	2069834	11
"590"	506981	"yyx"	1883308	13
"591"	513668	"connectome_old"	2447951	11
"592"	513668	"fragmentum"	2069834	11
"593"	513668	"yyx"	1883308	13
"594"	513668	"piece_eyecircuit"	662029	10
"595"	513725	"fragmentum"	2069834	11
"596"	513725	"yyx"	1883308	13
"597"	513725	"piece_eyecircuit"	662029	10
"598"	522412	"fragmentum"	2069834	11
"599"	522412	"yyx"	1883308	13
"600"	525219	"interneuron"	58516	11
"601"	525219	"ectoderm"	1801868	11
"602"	525219	"head"	1467274	13
"603"	525219	"left"	1275210	13
"604"	525219	"fragmentum"	2069834	11
"605"	525219	"yyx"	1883308	13
"606"	525219	"all_central_visualisation"	2179559	13
"607"	525219	"IN_head_visualisation"	2177892	13
"608"	525219	"left_side"	2054472	11
"609"	525219	"with_soma"	2036716	11
"610"	525219	"episphere"	2030265	11
"611"	527147	"fragmentum"	2069834	11
"612"	527147	"yyx"	1883308	13
"613"	529028	"fragmentum"	2069834	11
"614"	529028	"yyx"	1883308	13
"615"	530074	"fragmentum"	2069834	11
"616"	530074	"yyx"	1883308	13
"617"	532345	"fragmentum"	2069834	11
"618"	532345	"yyx"	1883308	13
"619"	533198	"fragmentum"	2069834	11
"620"	533198	"yyx"	1883308	13
"621"	537397	"fragmentum"	2069834	11
"622"	537397	"yyx"	1883308	13
"623"	539378	"fragmentum"	2069834	11
"624"	539378	"yyx"	1883308	13
"625"	543807	"fragmentum"	2069834	11
"626"	543807	"yyx"	1883308	13
"627"	543907	"fragmentum"	2069834	11
"628"	543907	"yyx"	1883308	13
"629"	543907	"dense cored vesicles"	1224657	16
"630"	544007	"fragmentum"	2069834	11
"631"	544007	"yyx"	1883308	13
"632"	544130	"fragmentum"	2069834	11
"633"	544130	"yyx"	1883308	13
"634"	556245	"fragmentum"	2069834	11
"635"	556245	"yyx"	1883308	13
"636"	556245	"piece_eyecircuit"	662029	10
"637"	556857	"fragmentum"	2069834	11
"638"	556857	"yyx"	1883308	13
"639"	556857	"piece_eyecircuit"	662029	10
"640"	556882	"fragmentum"	2069834	11
"641"	556882	"yyx"	1883308	13
"642"	556882	"piece_eyecircuit"	662029	10
"643"	557178	"fragmentum"	2069834	11
"644"	557178	"yyx"	1883308	13
"645"	557178	"piece_eyecircuit"	662029	10
"646"	564475	"fragmentum"	2069834	11
"647"	564475	"yyx"	1883308	13
"648"	564535	"fragmentum"	2069834	11
"649"	564535	"yyx"	1883308	13
"650"	564627	"fragmentum"	2069834	11
"651"	564627	"dense cored vesicles"	1224657	16
"652"	564627	"yyx"	1883308	13
"653"	564660	"fragmentum"	2069834	11
"654"	564660	"yyx"	1883308	13
"655"	564835	"FVRIa gold"	1554501	24
"656"	564835	"Fusion Pair 1"	1544206	24
"657"	564835	"Neuron 1375916"	1678837	11
"658"	564835	"clear synaptic vesicles"	1322846	16
"659"	564835	"connectome_frag"	2454845	11
"660"	564835	"connectome"	2450493	11
"661"	564835	"connectome_old"	2447951	11
"662"	564835	"fragmentum"	2069834	11
"663"	564835	"fragment"	2029624	11
"664"	564844	"fragmentum"	2069834	11
"665"	564844	"yyx"	1883308	13
"666"	564905	"fragmentum"	2069834	11
"667"	564905	"yyx"	1883308	13
"668"	564914	"fragmentum"	2069834	11
"669"	564914	"yyx"	1883308	13
"670"	564927	"fragmentum"	2069834	11
